Name: 咪咕直播1, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播2, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播3, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播4, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播5, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播6, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播7, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播8, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播9, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播10, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000031494&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播11, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000000097&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播12, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002019&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播13, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000002809&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播14, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000003915&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
Name: 咪咕直播15, URL: http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 601 ms
